feature,importance
numeric__satisfaction_score,0.24333835511168997
numeric__total_spent,0.23529621986265256
numeric__support_tickets,0.08716861052234835
numeric__marketing_spend_per_user,0.028858994163660053
numeric__avg_session_time,0.028718395571488635
numeric__lifetime_value,0.02817372988484679
numeric__pages_per_session,0.027822741214125285
numeric__avg_order_value,0.02776452377859427
numeric__customer_tenure_days,0.02701589608404356
numeric__days_since_last_purchase,0.026980602694859614
numeric__email_open_rate,0.024896861576165774
numeric__email_click_rate,0.02298942425124619
numeric__age,0.02235798918022752
numeric__total_visits,0.019338423882973046
numeric__last_3_month_purchase_freq,0.01702389370451894
numeric__nps_score,0.0152641546308872
numeric__delivery_delay_days,0.013169118099567632
numeric__is_premium_user,0.003732685099219
numeric__discount_used,0.0036980402941690486
numeric__has_coupon_code,0.003544233153865529
categorical__device_type_Desktop,0.003398456080852581
categorical__country_Germany,0.0033861112411820416
categorical__gender_Male,0.0033266450538243218
categorical__device_type_Tablet,0.003311432805151426
categorical__payment_method_Card,0.003262199564216298
categorical__device_type_Mobile,0.003210928947737517
categorical__acquisition_channel_Google Ads,0.003208823939774209
categorical__acquisition_channel_Referral,0.00316187033771436
categorical__subscription_type_Annual,0.0031575717625221726
categorical__payment_method_UPI,0.0031497092419089123
categorical__subscription_type_Monthly,0.0031405471047638222
categorical__payment_method_PayPal,0.003117252437655109
categorical__gender_Female,0.0031160553832101706
categorical__payment_method_BKash,0.0030378748472200613
categorical__payment_method_SEPA,0.003020293085801236
categorical__country_India,0.003010315223798441
categorical__acquisition_channel_Facebook Ads,0.0029706788686778562
categorical__city_Mumbai,0.0029647643368535892
categorical__city_Dhaka,0.0029453031089458643
numeric__refund_requested,0.0029449526390160725
categorical__acquisition_channel_Organic,0.0029372956502378925
categorical__acquisition_channel_Email,0.0029302640872419013
categorical__country_UK,0.0029222544369978598
categorical__country_Bangladesh,0.002920547887606795
categorical__country_USA,0.0029198050374913244
categorical__city_Berlin,0.0028629311542374062
categorical__city_Delhi,0.0028239848764008567
categorical__city_New York,0.0027432035011743672
categorical__city_London,0.0027249756512542473
categorical__city_Hamburg,0.0026494563135135048
categorical__gender_Other,0.0015706026318688005
