Scenario,Model,Accuracy,Precision,Recall,F1-Score,Best CV F1-Score
Direct Modeling,Logistic Regression,0.836,0.2894736842105263,0.0478260869565217,0.0820895522388059,
Direct Modeling,Random Forest,0.8466666666666667,0.5,0.008695652173913,0.017094017094017,
Direct Modeling,Voting Classifier,0.8423333333333334,0.46524064171123,0.1891304347826087,0.2689335394126739,
Preprocessing,Logistic Regression,0.846,0.4930555555555556,0.1543478260869565,0.2350993377483443,
Preprocessing,Random Forest,0.8443333333333334,0.4806629834254143,0.1891304347826087,0.2714508580343214,
Preprocessing,Voting Classifier,0.8473333333333334,0.5053763440860215,0.2043478260869565,0.2910216718266253,
Hyperparameter Tuning,Logistic Regression,0.752,0.3530020703933747,0.741304347826087,0.4782608695652174,0.48282238102862474
Hyperparameter Tuning,Random Forest,0.8523333333333334,0.5097588978185993,0.9652173913043478,0.667167543200601,0.6603867539671655
Hyperparameter Tuning,Voting Classifier,0.8553333333333333,0.5149769585253456,0.9717391304347827,0.6731927710843374,0.6561250399289167
